[INFO] main.py:39 > Namespace(agem_batch=240, batchsize=16, binary=False, data_dir=None, dataset='cifar10', debug=False, distilling=True, eval_period=100, gpu_transform=True, imp_update_period=1, init_model=False, init_opt=False, log_path='results', lr=0.0003, lr_length=10, lr_period=10, lr_step=0.95, m=10, memory_epoch=256, memory_size=500, mir_cands=50, mode='clib', model_name='resnet18', n=50, n_tasks=5, n_worker=0, note='clib', num_gpus=1, online_iter=1.0, opt_name='adam', reg_coef=100, rnd_seed=1, sched_name='default', temp_batchsize=None, topk=1, transforms=['cutmix', 'autoaug'], use_amp=True, workers_per_gpu=1)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.4914, 0.4822, 0.4465), std=(0.2023, 0.1994, 0.201))
)
[INFO] main.py:104 > [1] Select a CIL method (clib)
-------binary False
[INFO] main.py:110 > [2] Incrementally training 5 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] er_baseline.py:202 > Train | Sample # 122 | train_loss 0.9902 | train_acc 0.6250 | lr 0.000300 | running_time 0:00:10 | ETA 1:13:39
[INFO] er_baseline.py:202 > Train | Sample # 124 | train_loss 0.8619 | train_acc 0.6250 | lr 0.000300 | running_time 0:00:10 | ETA 1:13:39
[INFO] er_baseline.py:202 > Train | Sample # 126 | train_loss 0.6806 | train_acc 0.6562 | lr 0.000300 | running_time 0:00:11 | ETA 1:13:30
[INFO] er_baseline.py:202 > Train | Sample # 128 | train_loss 1.0412 | train_acc 0.6875 | lr 0.000300 | running_time 0:00:11 | ETA 1:13:22
[INFO] er_baseline.py:202 > Train | Sample # 130 | train_loss 0.6787 | train_acc 0.7500 | lr 0.000300 | running_time 0:00:11 | ETA 1:13:07
[INFO] er_baseline.py:202 > Train | Sample # 132 | train_loss 1.2086 | train_acc 0.5000 | lr 0.000300 | running_time 0:00:11 | ETA 1:12:54
[INFO] er_baseline.py:202 > Train | Sample # 134 | train_loss 1.0242 | train_acc 0.5000 | lr 0.000300 | running_time 0:00:11 | ETA 1:12:52
[INFO] er_baseline.py:202 > Train | Sample # 136 | train_loss 0.7602 | train_acc 0.5625 | lr 0.000300 | running_time 0:00:11 | ETA 1:12:44
[INFO] er_baseline.py:202 > Train | Sample # 138 | train_loss 0.6860 | train_acc 0.6250 | lr 0.000300 | running_time 0:00:12 | ETA 1:12:45
[INFO] er_baseline.py:202 > Train | Sample # 140 | train_loss 0.9554 | train_acc 0.6562 | lr 0.000300 | running_time 0:00:12 | ETA 1:12:32
[INFO] er_baseline.py:202 > Train | Sample # 142 | train_loss 1.2287 | train_acc 0.3750 | lr 0.000285 | running_time 0:00:12 | ETA 1:12:33
[INFO] er_baseline.py:202 > Train | Sample # 144 | train_loss 0.7999 | train_acc 0.6250 | lr 0.000285 | running_time 0:00:12 | ETA 1:12:15
[INFO] er_baseline.py:202 > Train | Sample # 146 | train_loss 0.7085 | train_acc 0.5625 | lr 0.000285 | running_time 0:00:12 | ETA 1:12:08
[INFO] er_baseline.py:202 > Train | Sample # 148 | train_loss 0.8667 | train_acc 0.6250 | lr 0.000285 | running_time 0:00:12 | ETA 1:11:58
[INFO] er_baseline.py:202 > Train | Sample # 150 | train_loss 0.8377 | train_acc 0.7188 | lr 0.000285 | running_time 0:00:12 | ETA 1:11:45
[INFO] er_baseline.py:202 > Train | Sample # 152 | train_loss 0.6877 | train_acc 0.6562 | lr 0.000285 | running_time 0:00:13 | ETA 1:11:35
[INFO] er_baseline.py:202 > Train | Sample # 154 | train_loss 0.7676 | train_acc 0.5938 | lr 0.000285 | running_time 0:00:13 | ETA 1:11:34
[INFO] er_baseline.py:202 > Train | Sample # 156 | train_loss 0.7616 | train_acc 0.5625 | lr 0.000285 | running_time 0:00:13 | ETA 1:11:24
[INFO] er_baseline.py:202 > Train | Sample # 158 | train_loss 1.1520 | train_acc 0.4688 | lr 0.000285 | running_time 0:00:13 | ETA 1:11:25
[INFO] er_baseline.py:202 > Train | Sample # 160 | train_loss 0.8749 | train_acc 0.5000 | lr 0.000285 | running_time 0:00:13 | ETA 1:11:13
[INFO] er_baseline.py:202 > Train | Sample # 162 | train_loss 1.1280 | train_acc 0.4375 | lr 0.000300 | running_time 0:00:13 | ETA 1:11:17
[INFO] er_baseline.py:202 > Train | Sample # 164 | train_loss 0.9678 | train_acc 0.6562 | lr 0.000300 | running_time 0:00:14 | ETA 1:11:02
[INFO] er_baseline.py:202 > Train | Sample # 166 | train_loss 0.7604 | train_acc 0.5312 | lr 0.000300 | running_time 0:00:14 | ETA 1:10:55
[INFO] er_baseline.py:202 > Train | Sample # 168 | train_loss 1.3500 | train_acc 0.4062 | lr 0.000300 | running_time 0:00:14 | ETA 1:10:51
[INFO] er_baseline.py:202 > Train | Sample # 170 | train_loss 0.8904 | train_acc 0.5000 | lr 0.000300 | running_time 0:00:14 | ETA 1:10:44
[INFO] er_baseline.py:202 > Train | Sample # 172 | train_loss 0.9211 | train_acc 0.6562 | lr 0.000300 | running_time 0:00:14 | ETA 1:10:49
[INFO] er_baseline.py:202 > Train | Sample # 174 | train_loss 0.8447 | train_acc 0.5625 | lr 0.000300 | running_time 0:00:14 | ETA 1:10:43
[INFO] er_baseline.py:202 > Train | Sample # 176 | train_loss 0.9408 | train_acc 0.6562 | lr 0.000300 | running_time 0:00:14 | ETA 1:10:40
[INFO] er_baseline.py:202 > Train | Sample # 178 | train_loss 0.9276 | train_acc 0.5625 | lr 0.000300 | running_time 0:00:15 | ETA 1:10:34
[INFO] er_baseline.py:202 > Train | Sample # 180 | train_loss 0.8740 | train_acc 0.6250 | lr 0.000300 | running_time 0:00:15 | ETA 1:10:39
[INFO] er_baseline.py:202 > Train | Sample # 182 | train_loss 0.8134 | train_acc 0.6562 | lr 0.000285 | running_time 0:00:15 | ETA 1:10:33
